127.0.0.1 - - [07/Jul/2016:16:50:11 -0300] "GET / HTTP/1.1" 404 994
10.162.4.121 - - [07/Jul/2016:16:50:14 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 4126
10.162.4.121 - - [07/Jul/2016:16:50:21 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 302
10.162.4.121 - - [07/Jul/2016:16:50:27 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 343
10.162.4.121 - - [07/Jul/2016:16:50:30 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 4127
10.162.4.121 - - [07/Jul/2016:16:50:32 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 344
10.162.4.121 - - [07/Jul/2016:16:50:35 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 377
10.162.4.121 - - [07/Jul/2016:16:50:39 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:40 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 340
10.162.4.121 - - [07/Jul/2016:16:50:44 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 340
10.162.4.121 - - [07/Jul/2016:16:50:45 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:45 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:46 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:46 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:46 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:46 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:47 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:47 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:47 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
10.162.4.121 - - [07/Jul/2016:16:50:52 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 3933
10.162.4.121 - - [07/Jul/2016:16:51:40 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 500 4050
10.162.4.121 - - [07/Jul/2016:16:51:42 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 500 4050
10.162.4.121 - - [07/Jul/2016:16:52:14 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 500 4050
10.162.4.121 - - [07/Jul/2016:16:52:18 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 500 4050
10.162.4.121 - - [07/Jul/2016:16:52:34 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 4211
