127.0.0.1 - - [10/Aug/2016:08:56:12 -0300] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [10/Aug/2016:08:56:37 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 302 -
10.162.114.154 - - [10/Aug/2016:08:56:37 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
10.162.114.154 - - [10/Aug/2016:08:56:37 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
10.162.114.154 - - [10/Aug/2016:08:57:10 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
127.0.0.1 - - [10/Aug/2016:08:58:10 -0300] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [10/Aug/2016:08:58:15 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
127.0.0.1 - - [10/Aug/2016:08:59:48 -0300] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [10/Aug/2016:08:59:52 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
10.162.114.154 - - [10/Aug/2016:08:59:57 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
10.162.114.154 - - [10/Aug/2016:09:01:19 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
127.0.0.1 - - [10/Aug/2016:09:01:29 -0300] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [10/Aug/2016:09:01:39 -0300] "GET /livraria/login.xhtml HTTP/1.1" 500 4075
10.162.114.154 - - [10/Aug/2016:09:02:32 -0300] "GET /livraria/login.xhtml HTTP/1.1" 200 3775
10.162.114.154 - - [10/Aug/2016:09:02:32 -0300] "GET /livraria/javax.faces.resource/logo.png.xhtml;jsessionid=BE75F1D8C336FC92AE997F458EEA76FD?ln=img HTTP/1.1" 200 12682
10.162.114.154 - - [10/Aug/2016:09:02:32 -0300] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=BE75F1D8C336FC92AE997F458EEA76FD?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
10.162.114.154 - - [10/Aug/2016:09:02:32 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 29170
