127.0.0.1 - - [19/Oct/2016:09:08:44 -0200] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/livro.xhtml HTTP/1.1" 302 -
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/login.xhtml HTTP/1.1" 200 4372
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25031
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 29170
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF?ln=primefaces&v=5.3 HTTP/1.1" 200 70809
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/jsf.js.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF?ln=javax.faces HTTP/1.1" 200 42359
10.162.114.154 - - [19/Oct/2016:09:08:49 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
10.162.114.154 - - [19/Oct/2016:09:08:50 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF?ln=img HTTP/1.1" 200 12682
10.162.114.154 - - [19/Oct/2016:09:08:50 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "POST /livraria/login.xhtml;jsessionid=4B25E84A7F63991B791DB6FD481FEADF HTTP/1.1" 200 147
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/livro.xhtml HTTP/1.1" 200 25024
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 42359
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70809
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
10.162.114.154 - - [19/Oct/2016:09:08:56 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 200 12682
